node,relation_nodes
420266795,"4779272264,420266588,420266744,420266740,420266656,4290306109,2164044618,2178059221,2168887438,2168887468,2168887459,2173660884,2173660747,2173660741,2175276437,2175276254,2178059333,2178059324,2178059176,2181321145,1736755339,420266742,6157816047,6157816050,6157816073,6157816066"
420266829,420266773
5688198864,
420266795,"4779272264,420266588,420266744,420266740,420266656,4290306109,2164044618,2178059221,2168887438,2168887468,2168887459,2173660884,2173660747,2173660741,2175276437,2175276254,2178059333,2178059324,2178059176,2181321145,1736755339,420266742,6157816047,6157816050,6157816073,6157816066"
420266588,"420266795,2181490588,420265809,2164044659,2178059207,2178059235,6157820347,420266656,4290306109,2164044618,2178059221,2168887438,2168887468,2168887459,2175276254,2178059333"
420266751,"946186530,420266806,420266814,5677538623,420266817,4290304631"
946186530,"420266751,946186409,946186393,946186351,5759141193,420265842,946186451,4290304631"
420266772,"420266773,420266767,420266121,420266108"
420266108,"420266772,420266482,420266402,2170972745,2181321311,2190739776,2461400798,2461400800,3641738795,420266311,5444690812,5444653531,5720562696,6149050677,6149085411,6149085448,6157816081,6157820310,6157820313,6157820304,420266103,2175276231,420266101,2461400847"
420266482,"420266402,420265809,4779272262,1726781817,420266449,420266799,420266491,420266654,420266108,420266461,2164044601,2168887478,2168887527,2170972745,2173660900,2173660600,2175276272,2175276434,3221495198,2181321311,2179875726,2190739776,2461400798,2461400800,3641738795,420266311,5444690812,5444653531,5720562696,6149050677,6149085411,6149085448,6157816043,6157816054,6157816081,6157820310,6157820313,6157820335,6157820304"
420266402,"420266482,420266506,4683527466,5444156149,420266799,420266491,420266108,420266461,2170972745,2181321311,2190739776,2461400798,2461400800,3641738795,4683527929,420266311,5444690812,2201227398,5444653531,5720562696,6149050646,6149050677,6149085411,6149085448,6157816081,6157820310,6157820313,6157820304,2201227480"
420266106,"420266103,2175276524"
420266103,"420266108,420266106,420266101,2461400847"
420266614,"2987273573,420266685,2195625503"
420266685,"420266614,420266380,420266503,420266687"
420266380,"1726781682,420266685"
1726781682,"420266380,420266393,2999211646"
946186334,"946186239,420266238,2173689946,946186543,946404024,2173689997,6148990394"
946186239,"946186334,2173689944,2173689880,420266727,946186543,2173689898,2173689997,6148990394"
